24216,11725.0625,0
20136.6875,5417.75,0
19683.25,9222.5625,0
18785.625,5948.8125,0
20489.8125,7541.125,0
20044.8125,6813.4375,0
19632.8125,8692.5625,0
19013.3125,11486.6875,0
21175.5,12608.6875,0
22726.5625,5994,0
19589.75,10914.25,0
23711.1875,8427.375,0
23719.125,8407.6875,0
22349.625,8850.875,0
22189.5,8318.5625,0
23137.3125,4186.4375,0
23205.8125,9365.3125,0
25800.1875,6613,0
21775.0625,6424.875,0
24191.8125,4494.5625,0
22623.4375,6541.25,0
23136.5625,5597.3125,0
22735.625,13235.25,0
23121.5625,7820.125,0
23633.8125,10417.875,0
23268.125,5521.75,0
22766.0625,5952.25,0
21469.9375,11024.5,0
20505.1875,12432.25,0
19891.375,11761.875,0
22392,8818.125,0
22528.375,7698.6875,0
17009.875,7816.5,0
21801.5,6251.1875,0
19435.875,5463.125,0
20566.1875,10896.6875,0
20352.75,11605.875,0
20401.625,6002.375,0
20268.875,5610.1875,0
19717.875,5353.125,0
19449.1875,5315.6875,0
18701.5,4356.25,0
18602.9375,4471.3125,0
19678.0625,5930.5625,0
19288.4375,5501.25,0
19803.4375,5791.375,0
19663.625,10164.8125,0
19363.5625,11059.625,0
19225,9056.75,0
19307,8504.125,0
19129.9375,8085.625,0
15359.1875,13145.5,0
20259.6875,11060.1875,0
18871.3125,7126.6875,0
20180.1875,6126.375,0
19376.125,8113.0625,0
18076.25,8469.625,0
17378.625,9995.75,0
16321.625,6489.0625,0
16136.125,5817,0
14782.75,8978.8125,0
15187,6453.6875,0
16045,11693.9375,0
18737.9375,8347,0
19792.1875,8937.25,0
16828.125,11005.5,0
17047.4375,13062.8125,0
13036.375,9512.375,0
15730.75,6711.1875,0
17303.125,9582.1875,0
15979.3125,12810.8125,0
13778.5,11506.375,0
16151.1875,12260,0
17124.75,8617.6875,0
15494.75,9428.8125,0
19272.5,5025.9375,0
18149.9375,8635.5,0
19072.75,8595.125,0
18020.4375,8609.9375,0
13759.1875,9235.1875,0
14037.875,10287.375,0
13883.875,11129.1875,0
15266.375,11374.1875,0
17110.75,9121.625,0
16119.1875,9928.6875,0
13258.625,14688.6875,0
12320.625,12027.4375,0
13251.375,8292.5625,0
12963.5625,8769.5625,0
16548.5625,10109.25,0
14186.875,7484.75,0
12971.4375,11526,0
16595.9375,6470.125,0
17965.0625,8139.9375,0
15153,7820.6875,0
18045.75,6983,0
17615.75,15090.4375,0
18647.6875,8769.875,0
18181.9375,7335.0625,0
17301.5625,7809.4375,0
16583.625,9075.3125,0
16567.25,9284.625,0
14018.0625,15266.5,0
16798.6875,12000.0625,0
18974.8125,7077.75,0
11322,7900.6875,0
19455.375,7341.0625,0
19469.8125,7268.1875,0
17900.0625,6576.4375,0
19323.4375,5253.875,0
16728.25,9584.5,0
20389.625,4975.875,0
21092.1875,3696.4375,0
19985.375,5588.875,0
19743.5625,5002.8125,0
18182.5625,7614.5625,0
15389.625,9587.3125,0
15840,8948.5625,0
15964.125,7980.25,0
16662,7720.875,0
18988,6287.0625,0
20342.625,5614.8125,0
19838.5,9613.25,0
21411.8125,6512.5,0
19926.8125,5957.5,0
20106.6875,3942.8125,0
17444.375,7961.5,0
